"Yes", "Yes"
"Imagen Base", "Imagen Base"
"Tamaño recomendado: 1200px x630px", "Recommended size: 1200px x630px"
"Twitter Card", "Twitter Card"
"Twitter Creator","Twitter Creator"
"Twitter Site","Twitter Site"
"¿Agegar Condición de producto?", "Add Condition of product?"
"Atributo para condición del producto", "Attribute for Condition of product"
"¿Agregar Marca de producto?", "Add Brand of product?"
"Atributo para la marca del producto","Attribute for Brand of product"
